topic,topic_label,word,score
0,Ofsted inspections and accountability,ofsted,0.05053771092655735
0,Ofsted inspections and accountability,inspection,0.03436379688572344
0,Ofsted inspections and accountability,inspections,0.024722486275648
0,Ofsted inspections and accountability,inspectors,0.024086608951740376
0,Ofsted inspections and accountability,said,0.021634059923978065
0,Ofsted inspections and accountability,schools,0.020742170475793322
0,Ofsted inspections and accountability,school,0.020609233925061643
0,Ofsted inspections and accountability,report,0.015065271251958817
0,Ofsted inspections and accountability,inspector,0.01461965315084294
0,Ofsted inspections and accountability,leaders,0.013939114728608754
1,Pupil attainment and exam results,students,0.026638038535152876
1,Pupil attainment and exam results,results,0.0257889608790274
1,Pupil attainment and exam results,year,0.025064102784575222
1,Pupil attainment and exam results,pupils,0.023766263236293234
1,Pupil attainment and exam results,grades,0.022977055197350296
1,Pupil attainment and exam results,ofqual,0.020462766015920255
1,Pupil attainment and exam results,grade,0.020303307586254163
1,Pupil attainment and exam results,gcse,0.020207202075282142
1,Pupil attainment and exam results,cent,0.01864343395201169
1,Pupil attainment and exam results,maths,0.018293645041547086
2,Teacher recruitment and workforce supply,teachers,0.042851212090473934
2,Teacher recruitment and workforce supply,teacher,0.030894425798547186
2,Teacher recruitment and workforce supply,cent,0.02654045901523714
2,Teacher recruitment and workforce supply,recruitment,0.02435819227350303
2,Teacher recruitment and workforce supply,teaching,0.020237606865952086
2,Teacher recruitment and workforce supply,said,0.019518195828158745
2,Teacher recruitment and workforce supply,year,0.01920469513895261
2,Teacher recruitment and workforce supply,retention,0.017280979584903426
2,Teacher recruitment and workforce supply,training,0.01727824447810521
2,Teacher recruitment and workforce supply,government,0.014817598526713781
3,Special educational needs and SEND provision,send,0.03666640449382525
3,Special educational needs and SEND provision,schools,0.024441874138883296
3,Special educational needs and SEND provision,children,0.024328660777379732
3,Special educational needs and SEND provision,special,0.02345134740015535
3,Special educational needs and SEND provision,needs,0.023088375191498332
3,Special educational needs and SEND provision,said,0.01962479085560469
3,Special educational needs and SEND provision,support,0.018038892889569953
3,Special educational needs and SEND provision,mainstream,0.017472234833228892
3,Special educational needs and SEND provision,councils,0.01643613545298416
3,Special educational needs and SEND provision,provision,0.016039196530296226
4,Academy trusts and school governance,trust,0.045555057628193646
4,Academy trusts and school governance,trusts,0.03703673470204428
4,Academy trusts and school governance,schools,0.027954254825427592
4,Academy trusts and school governance,academies,0.022276903282151077
4,Academy trusts and school governance,academy,0.021552250199255968
4,Academy trusts and school governance,said,0.018812441181340445
4,Academy trusts and school governance,school,0.017307562645983803
4,Academy trusts and school governance,ceo,0.01648121430927596
4,Academy trusts and school governance,mats,0.015397373701251436
4,Academy trusts and school governance,education,0.01322250011490464
5,School buildings and RAAC safety,raac,0.04400348345357247
5,School buildings and RAAC safety,schools,0.033594294359720715
5,School buildings and RAAC safety,buildings,0.030589452974773317
